Unit,Text,Length,Emotional Intensity,Mood,Descriptive Detail Level,Mystery Level,Pace,Level of Suspense,Smell Sensory Detail Level,ColorMaps
1,"ï»¿She must have done something to make him angry, but she couldn't figure out what. Just fifteen minutes before, she was the light of his life. His muse, he had called her. Now he wouldn't even look at her. She leaned her head against the window, staring at the passing farmland.",51,3,sad,2,2,3,2,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
2,"""Where are we going now?"" He didn't answer. He just pressed his foot down on the gas until they were speeding faster than she thought anyone could down a dirt and gravel road. There were times when it felt like none of the wheels were touching ground, followed by bumps so violent her head almost hit the ceiling.",58,2,suspenseful,3,2,5,3,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
3,The car smelled of burnt hair and cigarettes. The visor on the passenger side was completely torn off and the sun was directly in her face. It was like they were driving directly into a giant ball of fire and there was no relief from the blinding rays. Even closing her eyes didn't help. The brightness flared through her eyelids like they were made of wax paper. Were her eyes okay? She closed them and touched her eyelids with her fingers. It stung. Were her retinas burnt?,87,2,suspenseful,3,2,3,2,3,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
4,"Keeping her hand over her eyes provided a small amount of relief. But as soon as he saw what she was doing, he reached over and moved her hand back to her lap. ""Don't,"" was all he said. His voice was deeper and his tone was sharp. Her stomach began to gurgle and she leaned against the window once more. There was a strange feeling in her chest, as if her heart were squeezing between the bars of her ribcage to escape.",82,2,suspenseful,2,2,3,2,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
5,"She couldn't even see the houses and barns they passed, just blurs of red and brown. Why did he need to go this fast? Maybe he was angry she hadn't thanked him ""properly."" Maybe he was expecting something in return that she hadn't given him. He was blowing off steam by trying to travel at the speed of light.",59,2,suspenseful,2,2,5,2,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
6,She edged closer to him on the bench seat until their arms were touching. She placed her left hand on the inside of his right leg. She started caressing it. Rubbing up and down.,34,2,suspenseful,2,2,3,2,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
7,"He lifted his right arm and smacked her across the face with the back of his hand, nearly knocking her unconscious.",21,3,angry,2,0,3,3,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
8,"Little points of light swirled in front of her eyes. A metallic taste filled her mouth and nose. She put her hands to her face and they came away bloody. The sun boiled in front of her with shimmering intensity, a giant red blob.  Everything was turning red.",48,3,suspenseful,3,2,3,3,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
9,The realization of what was happening to her rose up in her as a scream.,15,3,suspenseful,2,2,3,3,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
10,He told her to shut the fuck up and hit her again. This time she did pass out.,18,3,angry,2,0,3,3,0,"{""Emotional Intensity"": {""0"": ""#FFFFFF"", ""1"": ""#FF9999"", ""2"": ""#FF3333"", ""3"": ""#CC0000""}, ""Mood"": {""positive"": ""#FFFF00"", ""sad"": ""#00008B"", ""angry"": ""#FF0000"", ""suspenseful"": ""#7328AA"", ""neutral"": ""#D3D3D3""}, ""Descriptive Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#FFE5CC"", ""2"": ""#FFB266"", ""3"": ""#FF8C00""}, ""Mystery Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Pace"": {""0"": ""#FFCCCC"", ""1"": ""#FF9999"", ""2"": ""#FF6666"", ""3"": ""#FF3333"", ""4"": ""#FF0000"", ""5"": ""#CC0000"", ""6"": ""#990000""}, ""Level of Suspense"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}, ""Smell Sensory Detail Level"": {""0"": ""#FFFFFF"", ""1"": ""#CC99CC"", ""2"": ""#CC99CC"", ""3"": ""#800080""}}"
